Sub-team,headcount
Comms - 1,5
Comms - 2,5
Comms -3,5
SDI - 1,0
SDI - 2,0
SDI - 3,3
PCM - 1,0
PCM - 2,0
PM - 1,5
PM - 2,1
EiM - 1,0
EiM - 2,3
EiM - 3,0
Cavs - 1,3
Cavs - 2,0
Cavs - 3,4
